cerveja;cervejaria;estilo;abv;ibu;ratings;media;descricao_estilo;descricao_cerveja;figura 
EVERMONT;Cervejaria EverBrew;New England IPA;7.4;70;3528;4.21;As cervejas New England IPA são parte de um novo estilo, ou sub-estilo, que deriva das famosas IPAs americanas. Seu nome vem da região da Nova Inglaterra (New England), nos Estados Unidos, onde foi criada. A principal característica é a aparência turva e nublada. Muito comum em alguns estilos de cerveja, como, por exemplo, as Hefeweizen mas, até então, não desejável em uma Índia Pale Ale. Ao sentir o aroma cria-se a expectativa de um sabor bem amargo mas, no entanto, encontram-se um sabor frutado, cítrico e mais suave do que uma tradicional West Coast IPA. O objetivo não é atingir altos níveis de amargor (IBU), mas sim enaltecer o sabor. As cervejas não são filtradas e nem pasteurizadas. Além do nome New England IPA, essa cerveja é também conhecida como NE IPA, Juicy IPA, Vermont IPA, Northeast IPA e Hazy IPA.;EVERMONT é uma cerveja do estilo India Pale Ale, e em sua composição tem presentes o trigo e aveia que conferem a sensação de boca aveludada. As doses absurdas dos lúpulos Citra, Mosaic e Galaxy, aliados ao DUPLO DRY HOPPING, revelam a explosão de sabor e aroma remetendo a frutas amarelas maduras como abacaxi, manga, pêssego, melão, damasco e maracujá.;neipa_evermont.jpeg
Event Horizon;Hocus Pocus;New England IPA;7;0;3732;4.15;As cervejas New England IPA são parte de um novo estilo, ou sub-estilo, que deriva das famosas IPAs americanas. Seu nome vem da região da Nova Inglaterra (New England), nos Estados Unidos, onde foi criada. A principal característica é a aparência turva e nublada. Muito comum em alguns estilos de cerveja, como, por exemplo, as Hefeweizen mas, até então, não desejável em uma Índia Pale Ale. Ao sentir o aroma cria-se a expectativa de um sabor bem amargo mas, no entanto, encontram-se um sabor frutado, cítrico e mais suave do que uma tradicional West Coast IPA. O objetivo não é atingir altos níveis de amargor (IBU), mas sim enaltecer o sabor. As cervejas não são filtradas e nem pasteurizadas. Além do nome New England IPA, essa cerveja é também conhecida como NE IPA, Juicy IPA, Vermont IPA, Northeast IPA e Hazy IPA.;"Na falta de uma única palavra curta, simples e em português, ""DANK"" é o termo mais preciso para essa cerveja. É um aroma altamente pungente, terroso, ""úmido"" e resinoso, com presença de pinho e um tom cítrico que equilibram um pouco esse soco no nariz que mascara muito bem o dulçor do pêssego que vem do fermento Conan. O perfil aromático lembra bastante o de alguns strains de outras ervas da mesma família do lúpulo (nudge nudge wink wink)";neipa_maine_gelato
Hop It Up;Synergy Brewing Company;New England IPA;7.4;55;2987;4.13;As cervejas New England IPA são parte de um novo estilo, ou sub-estilo, que deriva das famosas IPAs americanas. Seu nome vem da região da Nova Inglaterra (New England), nos Estados Unidos, onde foi criada. A principal característica é a aparência turva e nublada. Muito comum em alguns estilos de cerveja, como, por exemplo, as Hefeweizen mas, até então, não desejável em uma Índia Pale Ale. Ao sentir o aroma cria-se a expectativa de um sabor bem amargo mas, no entanto, encontram-se um sabor frutado, cítrico e mais suave do que uma tradicional West Coast IPA. O objetivo não é atingir altos níveis de amargor (IBU), mas sim enaltecer o sabor. As cervejas não são filtradas e nem pasteurizadas. Além do nome New England IPA, essa cerveja é também conhecida como NE IPA, Juicy IPA, Vermont IPA, Northeast IPA e Hazy IPA.;Levamos a sério o jeito divertido de fazer a Hop it Up! Resolvemos adicionar cerveja nos lúpulos e o resultado foi essa New England IPA com 26,5 g/L de Columbus, Mosaic, Amarillo e Citra! E sim, ela e Double Dry Hopping (DDH)! Hop it Up possui alta dinkability, com notas de maracujá, laranja e manga. ;neipa_hop_it_up.jpeg
Galaxy Detox;Three Monkeys Beer;New England IPA;6.5;60;2630;4.06;As cervejas New England IPA são parte de um novo estilo, ou sub-estilo, que deriva das famosas IPAs americanas. Seu nome vem da região da Nova Inglaterra (New England), nos Estados Unidos, onde foi criada. A principal característica é a aparência turva e nublada. Muito comum em alguns estilos de cerveja, como, por exemplo, as Hefeweizen mas, até então, não desejável em uma Índia Pale Ale. Ao sentir o aroma cria-se a expectativa de um sabor bem amargo mas, no entanto, encontram-se um sabor frutado, cítrico e mais suave do que uma tradicional West Coast IPA. O objetivo não é atingir altos níveis de amargor (IBU), mas sim enaltecer o sabor. As cervejas não são filtradas e nem pasteurizadas. Além do nome New England IPA, essa cerveja é também conhecida como NE IPA, Juicy IPA, Vermont IPA, Northeast IPA e Hazy IPA.;A DETOX tá de volta e com um toque especial, espacial: GALAXY DETOX. Isso sim é uma viagem que vai mudar a sua cabeça! Um lúpulo versátil que assume o papel central nessa DETOX. O GALAXY transborda aromas frutados e cítricos com destaque para maracujá e pêssego. Os aromas tropicais vão dominar no nariz!;neipa_galaxy_detox.jpeg
Timeless Porter;Wonderland Brewery;Porter / Sout;5.8;25;955;3.99;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;"“Oh, minhas queridas patas! Oh minha pele e bigodes!”, exclamou o Coelho Branco; ele está atrasado e isto é fato consumado. Entretanto, nunca é tarde demais para experimentar a Timeless Porter, uma cerveja sofisticada feito um relógio-de-bolso. Ela exibe uma inesperada textura macia e cremosa obtida pelo uso da lactose, além de rico aroma e sabor de caramelo. Com 5,8% abv e 25 IBU vindos da nobre estirpe do lúpulo inglês East Kent Goldings, ela se destaca entre outras porters pelo seu perfil único. É uma cerveja inspirada por aventureiros e inovadores cujas idéias mudam os paradigmas do mundo.";porter_timeless.jpeg
Avela Porter;Way Beer;Porter / Sout;5.6;25;5730;3.81;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;A cerveja artesanal Way Avelã Porter tem adição de extrato de avelã, que confere corpo, cremosidade e, claro, as deliciosas notas de avelã, que combinam perfeitamente com o estilo! Esta receita é ótima para degustação e também para harmonizações, especialmente, com chocolates!;porter_avela.jpeg
Old Dog;Old Boys;Porter / Sout;5.8;33;205;3.77;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;Cerveja de coloração negra, com corpo robusto e aveludado. Uma justa homenagem ao nosso fiel companheiro Marlon, presente desde as brassagens caseiras que deram origem à Old Boys. Sete tipos de malte conferem agradáveis notas de caramelo, avelã, café e chocolate amargo. O equilíbrio é garantido por tradicionais lúpulos ingleses e americanos.;porter_old_dog.jpeg
Chocolate Porter;Cerveja Orchid;Porter / Sout;5.4;0;375;3.69;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;Escura, estilo Porter, com adição de cacau, e por isso, traz  leve tosta, lembrando chocolate. Harmoniza com nozes e castanhas, chocolates, sobremesas com café e baunilha.;porter_chocolate.jpeg
PakaStout;Cervejaria Artesanal Pakas;Porter / Sout;6.1;45;243;3.83;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;Estilo tradicional da escola inglesa. Uma cerveja maltada com amargor equilibrado, de sabor torrado com notas pronunciadas de café e chocolate. Cerveja de espuma cremosa e persistente.;stout_pakastout.jpeg
Tucano;Garimpeiro;Porter / Sout;4.2;34;226;3.81;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;É inspirada na Irish Dry Stout clássica. Traz coloração preta opaca, presença marcante de torra, corpo baixo e amargor moderado;porter_tucano.jpeg
Fear of The Dark;Cervejaria Kud;Porter / Sout;6.2;34;644;3.74;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;A Küd Fear of the Dark faz uma homenagem à icônica música da banda inglesa Iron Maiden. Uma Foreing Extra Stout, estilo pouco explorado por cervejarias brasileiras, mas que tem muita personalidade, especialmente nas características de maltes torrados intensos. Mas, não tenha medo. A cerveja traz ricas notas de café e chocolate que vão arrebatar seu coração!;stout_fear_kud.jpeg
Baden Stout;Baden Baden;Porter / Sout;7.5;0;7658;3.56;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;Uma cerveja de estilo irlandês, cujos grãos de cevada tostados fazem com que ela tenha cor bem escura e intenso aroma de chocolate e café. Bem encorpada e com amargor intenso.;stout_baden_baden.jpeg
Dama Stout;Dama Bier;Porter / Sout;6;40;3484;3.5;Porter: Criado no século XVII, na Inglaterra, como a cerveja para trabalhadores portuários ingleses e irlandeses, o estilo Porter, é hoje, um dos mais populares estilos de cerveja do mundo. Trata-se de uma cerveja escura, produzida com malte torrado. Suas principais características trazem, como resultado, notas que remetem a café, chocolate amargo, toffee e biscoitos. Stout: Filha da Porter, o estilo de cerveja Stout surgiu, entretanto, como uma versão mais forte e mais escura da Porter. É caracterizada por sua coloração escura, aroma torrado e pelo perfil de leve chocolate ou cacau. É uma cerveja cremosa, amarga, seca e sua espuma pode ir do claro ao marrom. Fazem parte deste grupo seis estilos, que se destacam por serem de cervejas escuras e amargas. Cada uma das derivações do estilo de cerveja Stout possuí características distintas e limites de amargor, álcool, densidade e coloração;A cerveja Dama Bier Stout é produzida com três diferentes maltes e dois tipos de lúpulos cuidadosamente selecionados para proporcionar uma sensação complexa e agradável na boca. Encorpada, com amargor moderado e 5,5% de teor alcoólico, com sabor suave que lembra uma mistura de café, chocolate e caramelo.;stout_dama.jpeg
Petroleum;DUM Cervejaria;Russian Imperial Stout;12;96;5306;4.18;A Russian Imperial Stout é complexa nos aromas e tem alto teor alcoólico que a destaca de outras cervejas, caiu no gosto dos Russos e é comercializada e consumida desde o século XVIII. Seu aroma, tem o caráter de malte tostado e pode assumir diferentes níveis. O lúpulo também é sentido, porém de maneira suave. Por ter um teor alcoólico alto, pode ser perceptível o álcool, mas não chega a ser um aroma preponderante. Quanta a aparência da Russian Imperial Stout, sua coloração é escura e opaca, pode possuir variações de marrom a avermelhado. Tem espuma densa e um corpo licoroso. Seu sabor pode variar entre o final seco ou doce devido a quantidade de malte adicionado no mosto. É possível sentir um pouco de tostado e o amargor do lúpulo combinado com o caráter aquecedor do álcool. A Russian Imperial Stout pode ser envelhecida e quando for este o caso, pode apresentar sabor semelhante ao de vinho do Porto.;Cerveja negra como o Petróleo, com adição de cacau e aveia. Seus 12% de teor alcoólico estão muito bem inseridos juntamente com notas aromáticas muito marcantes de café e chocolate meio amargo proveniente dos maltes tostados e adição de cacau belga. O sabor segue o aroma e apresenta um amargor muito pronunciado para equilibrar as características do malte e do álcool. O corpo é muito denso e cremoso com um retrogosto prolongado e aquecedor, é inesquecível. A primeira Petroleum você nunca esquece!;ris_petroleum.jpeg
Abyssal;5 Elementos Cervejaria;Russian Imperial Stout;12;100;2180;4.16;A Russian Imperial Stout é complexa nos aromas e tem alto teor alcoólico que a destaca de outras cervejas, caiu no gosto dos Russos e é comercializada e consumida desde o século XVIII. Seu aroma, tem o caráter de malte tostado e pode assumir diferentes níveis. O lúpulo também é sentido, porém de maneira suave. Por ter um teor alcoólico alto, pode ser perceptível o álcool, mas não chega a ser um aroma preponderante. Quanta a aparência da Russian Imperial Stout, sua coloração é escura e opaca, pode possuir variações de marrom a avermelhado. Tem espuma densa e um corpo licoroso. Seu sabor pode variar entre o final seco ou doce devido a quantidade de malte adicionado no mosto. É possível sentir um pouco de tostado e o amargor do lúpulo combinado com o caráter aquecedor do álcool. A Russian Imperial Stout pode ser envelhecida e quando for este o caso, pode apresentar sabor semelhante ao de vinho do Porto.;Imponente e intimidadora, escura e viscosa, complexa e agressiva, equilibrada e sedosa, aromática e reconfortante. Uma cerveja extrema, não há dúvidas. Mas balanceada como o seu paladar. Premiada com medalha de ouro na categoria Imperial Stout em concurso a nível nacional em 2016. ;ris_abyssal.jpeg
Carvoeira Wood Aged;Lohn Bier;Russian Imperial Stout;9.5;60;1344;4.13;A Russian Imperial Stout é complexa nos aromas e tem alto teor alcoólico que a destaca de outras cervejas, caiu no gosto dos Russos e é comercializada e consumida desde o século XVIII. Seu aroma, tem o caráter de malte tostado e pode assumir diferentes níveis. O lúpulo também é sentido, porém de maneira suave. Por ter um teor alcoólico alto, pode ser perceptível o álcool, mas não chega a ser um aroma preponderante. Quanta a aparência da Russian Imperial Stout, sua coloração é escura e opaca, pode possuir variações de marrom a avermelhado. Tem espuma densa e um corpo licoroso. Seu sabor pode variar entre o final seco ou doce devido a quantidade de malte adicionado no mosto. É possível sentir um pouco de tostado e o amargor do lúpulo combinado com o caráter aquecedor do álcool. A Russian Imperial Stout pode ser envelhecida e quando for este o caso, pode apresentar sabor semelhante ao de vinho do Porto.;A Lohn Bier Carvoeira Wood Aged foi criada em parceria com a Random/ drei Adler, apresentando a combinação perfeita entre lúpulo inglês, grãos brasileiros e sabores exóticos. Leva em sua receita Funghi Secchi e Cumarú, tornando-se uma cerveja densa e complexa, com aromas e sabores amadeirados e de baunilha. É uma excelente cerveja de guarda.;ris_carvoeira.jpeg
Black Anthrax;Quatro Graus;Russian Imperial Stout;16;111;1514;4.11;A Russian Imperial Stout é complexa nos aromas e tem alto teor alcoólico que a destaca de outras cervejas, caiu no gosto dos Russos e é comercializada e consumida desde o século XVIII. Seu aroma, tem o caráter de malte tostado e pode assumir diferentes níveis. O lúpulo também é sentido, porém de maneira suave. Por ter um teor alcoólico alto, pode ser perceptível o álcool, mas não chega a ser um aroma preponderante. Quanta a aparência da Russian Imperial Stout, sua coloração é escura e opaca, pode possuir variações de marrom a avermelhado. Tem espuma densa e um corpo licoroso. Seu sabor pode variar entre o final seco ou doce devido a quantidade de malte adicionado no mosto. É possível sentir um pouco de tostado e o amargor do lúpulo combinado com o caráter aquecedor do álcool. A Russian Imperial Stout pode ser envelhecida e quando for este o caso, pode apresentar sabor semelhante ao de vinho do Porto.;Brazilian Extreme Imperial Stout com muitos ingredientes nacionais: Café, Baunilha, Melaço, Rapadura e Açúcar Mascavo. Além MUITO malte a adição desses açúcares torrados garantem 16% de álcool na cerveja. Além dos 111 IBUs provenientes do lúpulo, um amargor extra foi adicionado pela técnica de “dry-coffeeing” usando café Mineiro 100% Arábica, que tem leve acidez. Na maturação a cerveja recebeu ainda chips de carvalho e Baunilha em favas.;ris_black_anthrax.jpeg
Nikita Cherry Hickey;Cervejaria Antuérpia;Russian Imperial Stout;11.3;35;1431;4.01;A Russian Imperial Stout é complexa nos aromas e tem alto teor alcoólico que a destaca de outras cervejas, caiu no gosto dos Russos e é comercializada e consumida desde o século XVIII. Seu aroma, tem o caráter de malte tostado e pode assumir diferentes níveis. O lúpulo também é sentido, porém de maneira suave. Por ter um teor alcoólico alto, pode ser perceptível o álcool, mas não chega a ser um aroma preponderante. Quanta a aparência da Russian Imperial Stout, sua coloração é escura e opaca, pode possuir variações de marrom a avermelhado. Tem espuma densa e um corpo licoroso. Seu sabor pode variar entre o final seco ou doce devido a quantidade de malte adicionado no mosto. É possível sentir um pouco de tostado e o amargor do lúpulo combinado com o caráter aquecedor do álcool. A Russian Imperial Stout pode ser envelhecida e quando for este o caso, pode apresentar sabor semelhante ao de vinho do Porto.;Coloração preto fechado e brilhante, com boa formação e persistência de espuma, de coloração bege escuro. Sua aparência licorosa representada pela aderência a taça e renda belga deixada, é um destaque aos olhos. No aroma notas de chocolate amargo, café, toffee e nuts criam uma nova experiência aromática traduzida em uma sobremesa alcoólica. No sabor podemos perceber todas as notas sensoriais entregues no aroma acompanhado de alto corpo proporcionado pela adição de lactose a receita. Uma bebida que equilibra muito bem o dulçor, amargor e aquecimento alcoólico.;ris_nikita.jpeg
Black Miso;Japas Cervejaria;Russian Imperial Stout;11.5;0;1556;3.77;A Russian Imperial Stout é complexa nos aromas e tem alto teor alcoólico que a destaca de outras cervejas, caiu no gosto dos Russos e é comercializada e consumida desde o século XVIII. Seu aroma, tem o caráter de malte tostado e pode assumir diferentes níveis. O lúpulo também é sentido, porém de maneira suave. Por ter um teor alcoólico alto, pode ser perceptível o álcool, mas não chega a ser um aroma preponderante. Quanta a aparência da Russian Imperial Stout, sua coloração é escura e opaca, pode possuir variações de marrom a avermelhado. Tem espuma densa e um corpo licoroso. Seu sabor pode variar entre o final seco ou doce devido a quantidade de malte adicionado no mosto. É possível sentir um pouco de tostado e o amargor do lúpulo combinado com o caráter aquecedor do álcool. A Russian Imperial Stout pode ser envelhecida e quando for este o caso, pode apresentar sabor semelhante ao de vinho do Porto.;"A Japas Black Miso é uma cerveja do estilo Russian Imperial Stout com 11,5% de teor alcoólico. Elaborada com adição de miso, uma pasta fermentada com soja e sal e uma das grandes especialidades da culinária japonesa; é uma cerveja macia e licorosa, que apresenta uma combinação de sabores complexos e potentes em perfeito equilíbrio.";ris_black_miso.jpeg
Dunkel;Bierbaum;Dunkel;5.8;13;1756;3.59;Ao se deparar com uma Munich Dunkel, a primeira característica que ressaltamos é sua aparência. O tom varia do cobre ao marrom escuro. Seu colarinho de espuma cremosa tem uma coloração clara a bronze. Geralmente é uma cerveja limpa, mas sem filtragem, ela é turva. A Dunkel tem um curioso aroma levemente torrado, que se deve ao tipo de malte usado na receita. Ela também pode ter notas de café, toffee, chocolate, nozes e caramelo – e até mesmo de pão, nas versões não filtradas. Na boca, o amargor é equilibrado, o que faz com que a Dunkel seja fácil de beber. Seu sabor é suave, rico e complexo de maltes Munich, e pode ter notas de casca de pão. Também é possível sentir traços de caramelo, tostados ou nozes. Em versões mais recentes, é percebido um caráter de chocolate.;;dunkel_bierbaum.jpeg
Munchen;Bamberg Bier;Dunkel;5;25;1683;3.54;Ao se deparar com uma Munich Dunkel, a primeira característica que ressaltamos é sua aparência. O tom varia do cobre ao marrom escuro. Seu colarinho de espuma cremosa tem uma coloração clara a bronze. Geralmente é uma cerveja limpa, mas sem filtragem, ela é turva. A Dunkel tem um curioso aroma levemente torrado, que se deve ao tipo de malte usado na receita. Ela também pode ter notas de café, toffee, chocolate, nozes e caramelo – e até mesmo de pão, nas versões não filtradas. Na boca, o amargor é equilibrado, o que faz com que a Dunkel seja fácil de beber. Seu sabor é suave, rico e complexo de maltes Munich, e pode ter notas de casca de pão. Também é possível sentir traços de caramelo, tostados ou nozes. Em versões mais recentes, é percebido um caráter de chocolate.;;dunkel_bamberg.jpeg
Dunkel;Cervejaria Eisenbahn;Dunkel;4.8;18;10394;3.47;Ao se deparar com uma Munich Dunkel, a primeira característica que ressaltamos é sua aparência. O tom varia do cobre ao marrom escuro. Seu colarinho de espuma cremosa tem uma coloração clara a bronze. Geralmente é uma cerveja limpa, mas sem filtragem, ela é turva. A Dunkel tem um curioso aroma levemente torrado, que se deve ao tipo de malte usado na receita. Ela também pode ter notas de café, toffee, chocolate, nozes e caramelo – e até mesmo de pão, nas versões não filtradas. Na boca, o amargor é equilibrado, o que faz com que a Dunkel seja fácil de beber. Seu sabor é suave, rico e complexo de maltes Munich, e pode ter notas de casca de pão. Também é possível sentir traços de caramelo, tostados ou nozes. Em versões mais recentes, é percebido um caráter de chocolate.;;dunkel_eisenbahn.jpeg
Munich Dunkel;Cervejaria Antuerpia;Dunkel;5.5;20;981;3.45;Ao se deparar com uma Munich Dunkel, a primeira característica que ressaltamos é sua aparência. O tom varia do cobre ao marrom escuro. Seu colarinho de espuma cremosa tem uma coloração clara a bronze. Geralmente é uma cerveja limpa, mas sem filtragem, ela é turva. A Dunkel tem um curioso aroma levemente torrado, que se deve ao tipo de malte usado na receita. Ela também pode ter notas de café, toffee, chocolate, nozes e caramelo – e até mesmo de pão, nas versões não filtradas. Na boca, o amargor é equilibrado, o que faz com que a Dunkel seja fácil de beber. Seu sabor é suave, rico e complexo de maltes Munich, e pode ter notas de casca de pão. Também é possível sentir traços de caramelo, tostados ou nozes. Em versões mais recentes, é percebido um caráter de chocolate.;;dunkel_antuerpia,jpeg
Ebenholz Dunkel;Cervejaria Therozopolis;Dunkel;5.5;16;5195;3.39;Ao se deparar com uma Munich Dunkel, a primeira característica que ressaltamos é sua aparência. O tom varia do cobre ao marrom escuro. Seu colarinho de espuma cremosa tem uma coloração clara a bronze. Geralmente é uma cerveja limpa, mas sem filtragem, ela é turva. A Dunkel tem um curioso aroma levemente torrado, que se deve ao tipo de malte usado na receita. Ela também pode ter notas de café, toffee, chocolate, nozes e caramelo – e até mesmo de pão, nas versões não filtradas. Na boca, o amargor é equilibrado, o que faz com que a Dunkel seja fácil de beber. Seu sabor é suave, rico e complexo de maltes Munich, e pode ter notas de casca de pão. Também é possível sentir traços de caramelo, tostados ou nozes. Em versões mais recentes, é percebido um caráter de chocolate.;;dunkel_ebenholz.jpeg
Easy Dive;Cervejaria Oceanica;Witbier;5;15;1444;3.69;Também chamado de weissbier, weiss ou simplesmente de cerveja de trigo, a Weizenbier é uma cerveja típica do sul da Alemanha, região da Baviera. Produzida com, pelo menos, 50% de malte de trigo. São cervejas claras e opacas, com espuma branca e abundante. Apresenta aromas e sabores frutados de banana, maça e de especiarias, como cravo e florais. São bastante refrescante e de moderado teor alcoólico.;;witbier_easy_dive_oceanica.jpeg
Blanche de Curitiba;Bodebrown;Witbier;5.2;0;3145;3.68;Também chamado de weissbier, weiss ou simplesmente de cerveja de trigo, a Weizenbier é uma cerveja típica do sul da Alemanha, região da Baviera. Produzida com, pelo menos, 50% de malte de trigo. São cervejas claras e opacas, com espuma branca e abundante. Apresenta aromas e sabores frutados de banana, maça e de especiarias, como cravo e florais. São bastante refrescante e de moderado teor alcoólico.;;witbier_blanche_de_curitiba.jpeg
Witbier;Cervejaria Tarantino;Witbier;5;25;302;3.67;Criado na Bélgica, Witbier significa “cerveja branca”, como resultado de sua aparência clara e por não serem filtradas, são turvas. O estilo Witbier representa as cervejas de trigo belga. Diferente da Weiss alemã, a cerveja Witbier é, no entanto, produzida com trigo não maltado e temperada com coentro e casca de laranja. Seu sabor traz a refrescância cítrica da laranja, com um leve sabor picante de semente de coentro. Certamente um dos mais importantes estilos de cerveja do planeta.;;witbier_tarantino.jpeg
Witbier;Cervejaria Leopoldina;Witbier;5;13;3366;3.66;Criado na Bélgica, Witbier significa “cerveja branca”, como resultado de sua aparência clara e por não serem filtradas, são turvas. O estilo Witbier representa as cervejas de trigo belga. Diferente da Weiss alemã, a cerveja Witbier é, no entanto, produzida com trigo não maltado e temperada com coentro e casca de laranja. Seu sabor traz a refrescância cítrica da laranja, com um leve sabor picante de semente de coentro. Certamente um dos mais importantes estilos de cerveja do planeta.;;witbier_leopoldina.jpeg
Witbier;Cervejaria Shornstein;Witbier;5;15;4537;3.59;Criado na Bélgica, Witbier significa “cerveja branca”, como resultado de sua aparência clara e por não serem filtradas, são turvas. O estilo Witbier representa as cervejas de trigo belga. Diferente da Weiss alemã, a cerveja Witbier é, no entanto, produzida com trigo não maltado e temperada com coentro e casca de laranja. Seu sabor traz a refrescância cítrica da laranja, com um leve sabor picante de semente de coentro. Certamente um dos mais importantes estilos de cerveja do planeta.;;witibier_shornstein.jpeg
